bin start	omega	hist_DD	hist_DR	hist_RR
72.250000	-0.048468	8337411	13178607	17186787
72.500000	-0.046257	8165504	12946664	16944041
72.750000	-0.030403	8040369	12627734	16707153
73.000000	-0.025771	7851530	12369726	16463643
73.250000	-0.023435	7629039	12103498	16198356
73.500000	-0.023096	7348616	11832546	15948135
73.750000	-0.013674	7079844	11515420	15735821
74.000000	-0.009091	6825888	11227193	15487704
74.250000	-0.002318	6643429	10962761	15246753
74.500000	0.010496	6463346	10667167	15028722
74.750000	0.011342	6256194	10433285	14777991
75.000000	0.018258	6092175	10158126	14488613
75.250000	0.022226	5871611	9910162	14265782
75.500000	0.024845	5679636	9671266	14011000
75.750000	0.020756	5527843	9485060	13727194
76.000000	0.021636	5343426	9277717	13504179
76.250000	0.026054	5161914	9020971	13224585
76.500000	0.044109	5028223	8716387	12976948
76.750000	0.056091	4893516	8470521	12763442
77.000000	0.065420	4797760	8250548	12522557
77.250000	0.075350	4716087	8029209	12266619
77.500000	0.083133	4617958	7805686	11990189
77.750000	0.079236	4476604	7640862	11734955
78.000000	0.085077	4339688	7429325	11497100
78.250000	0.099113	4262227	7195136	11242309
78.500000	0.106075	4136934	6971892	10970552
78.750000	0.107891	4007439	6793321	10737702
79.000000	0.106196	3871724	6612841	10465332
79.250000	0.109106	3716304	6399448	10194915
79.500000	0.105459	3571424	6225046	9925386
79.750000	0.100938	3426780	6061780	9673168
80.000000	0.097682	3344889	5931192	9439571
80.250000	0.088256	3265627	5818440	9181586
80.500000	0.075962	3153852	5697031	8917605
80.750000	0.062609	3022476	5578497	8677829
81.000000	0.047627	2882571	5473567	8467859
81.250000	0.032379	2758300	5357376	8222693
81.500000	0.012291	2651456	5262491	7971503
81.750000	-0.007531	2567100	5176871	7728439
82.000000	-0.021988	2474289	5062604	7486307
82.250000	-0.042923	2342059	4938578	7224976
82.500000	-0.050263	2202976	4764319	6975077
82.750000	-0.040220	2108770	4552393	6725514
83.000000	-0.046115	2013906	4410129	6506315
83.250000	-0.039509	1951351	4241986	6284336
83.500000	-0.041444	1832897	4063804	6044212
83.750000	-0.022920	1711118	3816825	5789831
84.000000	-0.015247	1631213	3633740	5551619
84.250000	-0.002945	1540558	3429888	5303599
84.500000	0.012021	1427705	3220023	5073327
84.750000	0.045061	1333911	2983467	4851645
85.000000	0.055974	1232304	2803902	4634934
85.250000	0.046406	1118325	2656670	4399162
85.500000	0.040258	1020128	2515317	4178734
85.750000	0.040062	928808	2369432	3969064
86.000000	0.045627	855039	2211691	3738941
86.250000	0.039664	770815	2056243	3479688
86.500000	0.048620	679212	1885391	3249563
86.750000	0.032817	604851	1746499	2986143
87.000000	0.030151	533727	1605720	2760959
87.250000	0.065582	474582	1425237	2542643
87.500000	0.111753	421197	1230200	2295760
87.750000	0.104150	370004	1106136	2056448
88.000000	0.073407	319729	1004150	1822343
88.250000	0.023948	262702	886672	1547706
88.500000	0.000896	203431	744694	1287110
88.750000	0.022922	145447	590935	1060737
89.000000	0.106026	90449	415383	828119
89.250000	0.211414	41366	255805	596313
89.500000	0.350226	13488	124329	361926
89.750000	0.491067	1882	34427	131593
90.000000	-nan	0	0	0
90.250000	-nan	0	0	0
90.500000	-nan	0	0	0
90.750000	-nan	0	0	0
91.000000	-nan	0	0	0
91.250000	-nan	0	0	0
91.500000	-nan	0	0	0
91.750000	-nan	0	0	0
92.000000	-nan	0	0	0
92.250000	-nan	0	0	0
92.500000	-nan	0	0	0
92.750000	-nan	0	0	0
93.000000	-nan	0	0	0
93.250000	-nan	0	0	0
93.500000	-nan	0	0	0
93.750000	-nan	0	0	0
94.000000	-nan	0	0	0
94.250000	-nan	0	0	0
94.500000	-nan	0	0	0
94.750000	-nan	0	0	0
95.000000	-nan	0	0	0
95.250000	-nan	0	0	0
95.500000	-nan	0	0	0
95.750000	-nan	0	0	0
96.000000	-nan	0	0	0
96.250000	-nan	0	0	0
96.500000	-nan	0	0	0
96.750000	-nan	0	0	0
97.000000	-nan	0	0	0
97.250000	-nan	0	0	0
97.500000	-nan	0	0	0
97.750000	-nan	0	0	0
98.000000	-nan	0	0	0
98.250000	-nan	0	0	0
98.500000	-nan	0	0	0
98.750000	-nan	0	0	0
99.000000	-nan	0	0	0
99.250000	-nan	0	0	0
99.500000	-nan	0	0	0
99.750000	-nan	0	0	0
100.000000	-nan	0	0	0
100.250000	-nan	0	0	0
100.500000	-nan	0	0	0
100.750000	-nan	0	0	0
101.000000	-nan	0	0	0
101.250000	-nan	0	0	0
101.500000	-nan	0	0	0
101.750000	-nan	0	0	0
102.000000	-nan	0	0	0
102.250000	-nan	0	0	0
102.500000	-nan	0	0	0
